counter;initialDistance;maxDistance;handDistance;velocity;distfloat velocity;note played
0;248;297.6;0;0;0;1
1;0;0;232;15;0.15;10
2;0;0;240;9;0.09;11
3;0;0;264;12;0.12;12
4;0;0;256;18;0.18;11
5;0;0;236;16;0.16;10
6;0;0;184;24;0.24;8
7;0;0;164;17;0.17;7
8;0;0;184;17;0.17;8
9;0;0;180;49;0.49;8
10;0;0;108;30;0.3;5
11;0;0;96;29;0.29;5
12;0;0;104;19;0.19;5
13;0;0;196;24;0.24;9
14;0;0;228;14;0.14;10
15;0;0;264;24;0.24;12
16;0;0;164;32;0.32;7
17;0;0;196;28;0.28;9
18;0;0;100;51;0.51;5
19;0;0;100;23;0.23;5
20;0;0;104;31;0.31;5
21;0;0;104;25;0.25;5
22;0;0;284;12;0.12;12
23;0;0;340;12;0.12;1
24;0;0;336;11;0.11;1
25;0;0;324;21;0.21;1
26;0;0;304;15;0.15;1
27;0;0;276;60;0.6;12
28;0;0;284;13;0.13;12
29;0;0;204;16;0.16;9
30;0;0;252;15;0.15;11
31;0;0;200;23;0.23;9
32;0;0;188;32;0.32;8
33;0;0;144;21;0.21;7
34;0;0;144;15;0.15;7
35;0;0;252;16;0.16;11
36;0;0;272;15;0.15;12
37;0;0;232;12;0.12;10
38;0;0;248;12;0.12;11
39;0;0;216;16;0.16;10
40;0;0;236;13;0.13;10
41;0;0;192;9;0.09;9
42;0;0;220;14;0.14;10
43;0;0;216;12;0.12;10
44;0;0;264;13;0.13;12
45;0;0;268;11;0.11;12
46;0;0;212;12;0.12;9
47;0;0;184;16;0.16;8
48;0;0;164;13;0.13;7
49;0;0;164;13;0.13;7
50;0;0;164;9;0.09;7
51;0;0;176;10;0.1;8
52;0;0;192;13;0.13;9
53;0;0;128;17;0.17;6
54;0;0;132;15;0.15;6
55;0;0;156;10;0.1;7
56;0;0;168;15;0.15;8
57;0;0;164;11;0.11;7
58;0;0;148;13;0.13;7
59;0;0;152;8;0.08;7
60;0;0;156;10;0.1;7
61;0;0;152;15;0.15;7
62;0;0;152;9;0.09;7
63;0;0;176;46;0.46;8
64;0;0;176;16;0.16;8
65;0;0;180;11;0.11;8
66;0;0;184;10;0.1;8
67;0;0;176;19;0.19;8
68;0;0;188;9;0.09;8
69;0;0;188;12;0.12;8
70;0;0;204;45;0.45;9
71;0;0;184;10;0.1;8
72;0;0;112;10;0.1;5
73;0;0;112;21;0.21;5
74;0;0;100;10;0.1;5
75;0;0;112;8;0.08;5
76;0;0;104;8;0.08;5
77;0;0;112;17;0.17;5
78;0;0;120;12;0.12;6
79;0;0;120;19;0.19;6
80;0;0;116;15;0.15;5
81;0;0;116;17;0.17;5
82;0;0;112;14;0.14;5
83;0;0;100;16;0.16;5
84;0;0;108;12;0.12;5
85;0;0;92;17;0.17;4
86;0;0;68;41;0.41;3
87;0;0;68;38;0.38;3
88;0;0;64;8;0.08;3
89;0;0;64;11;0.11;3
90;0;0;92;16;0.16;4
91;0;0;112;36;0.36;5
92;0;0;116;14;0.14;5
93;0;0;132;25;0.25;6
94;0;0;172;19;0.19;8
95;0;0;144;22;0.22;7
96;0;0;152;13;0.13;7
97;0;0;156;21;0.21;7
98;0;0;132;23;0.23;6
99;0;0;148;11;0.11;7
100;0;0;128;11;0.11;6
101;0;0;176;15;0.15;8
102;0;0;184;21;0.21;8
103;0;0;176;20;0.2;8
104;0;0;184;27;0.27;8
105;0;0;172;21;0.21;8
106;0;0;180;27;0.27;8
107;0;0;180;22;0.22;8
108;0;0;232;48;0.48;10
109;0;0;240;17;0.17;11
110;0;0;124;29;0.29;6
111;0;0;136;22;0.22;6
112;0;0;132;37;0.37;6
113;0;0;136;25;0.25;6
114;0;0;120;41;0.41;6
115;0;0;124;27;0.27;6
